movie_name,movie_rating,movie_release,movie_duration,movie_desc
All About Eve,8.2,27-10-1950,138,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
Monty Python and the Holy Grail,8.2,25-05-1975,91,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
Some Like It Hot,8.2,19-03-1959,121,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
Batman Begins,8.2,16-06-2005,140,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
Unforgiven,8.2,07-08-1992,130,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The &quot;Schofield Kid.&quot;"
Bacheha-Ye aseman,8.3,12-08-1999,89,"After a boy loses his sister&apos;s pair of shoes, he goes on a series of adventures in order to find them. When he can&apos;t, he tries a new way to &quot;win&quot; a new pair."
Jai Bhim,9.3,02-11-2021,164,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
Hauru no ugoku shiro,8.2,24-02-2005,119,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
The Wolf of Wall Street,8.2,09-01-2014,180,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
Judgment at Nuremberg,8.2,18-12-1961,179,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."
There Will Be Blood,8.2,21-02-2008,158,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
The Great Escape,8.2,04-07-1963,172,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
Casino,8.2,14-03-1996,178,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite."
The Treasure of the Sierra Madre,8.2,24-01-1948,126,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
El laberinto del fauno,8.2,30-11-2006,118,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
A Beautiful Mind,8.2,04-01-2002,135,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
El secreto de sus ojos,8.2,13-08-2009,129,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
Raging Bull,8.2,19-12-1980,129,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
Chinatown,8.2,20-06-1974,130,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
Tonari no Totoro,8.2,16-04-1988,86,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
Shutter Island,8.2,15-04-2010,138,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
"Lock, Stock and Two Smoking Barrels",8.2,28-01-1999,107,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
No Country for Old Men,8.1,14-02-2008,122,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
Klaus,8.2,15-11-2019,96,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg&apos;s new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
Dial M for Murder,8.2,29-05-1954,105,A former tennis player tries to arrange his wife&apos;s murder after learning of her affair.
The Gold Rush,8.2,13-07-1925,95,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall."
The Thing,8.1,25-06-1982,109,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
"Three Billboards Outside Ebbing, Missouri",8.1,18-01-2018,115,A mother personally challenges the local authorities to solve her daughter&apos;s murder when they fail to catch the culprit.
Dersu Uzala,8.3,02-08-1975,142,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.
Det sjunde inseglet,8.2,16-02-1957,96,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
The Elephant Man,8.1,10-10-1980,124,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
The Sixth Sense,8.1,16-09-1999,107,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist."
The Truman Show,8.1,01-10-1998,103,An insurance salesman discovers his whole life is actually a reality TV show.
Jurassic Park,8.1,05-08-1993,127,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park&apos;s cloned dinosaurs to run loose.
Smultronstället,8.2,26-12-1957,91,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
The Third Man,8.1,03-09-1949,104,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
Salinui chueok,8.1,02-05-2003,131,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
V for Vendetta,8.1,16-03-2006,132,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of &quot;V,&quot; plots to overthrow it with the help of a young woman."
Blade Runner,8.1,25-06-1982,117,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator."
Trainspotting,8.1,23-02-1996,93,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
Fargo,8.1,05-04-1996,98,Minnesota car salesman Jerry Lundegaard&apos;s inept crime falls apart due to his and his henchmen&apos;s bungling and the persistent police work of the quite pregnant Marge Gunderson.
The Bridge on the River Kwai,8.1,11-10-1957,161,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
Inside Out,8.1,27-08-2015,95,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
Finding Nemo,8.1,06-06-2003,100,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
Kill Bill: Vol. 1,8.1,23-10-2003,111,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
Warrior,8.1,03-11-2011,140,"The youngest son of an alcoholic former boxer returns home, where he&apos;s trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
Gone with the Wind,8.1,17-01-1940,238,The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.
